MMSI,241463000,,,,,,,,,,Length,,,Width,,,,,,
Date and UTC Time,Lat,Lon,SOG,HDG,COG,ROT,Status,IMO Number,Name,Call Sign,Bow,Stern,Overall,Port,Starboard,Overall,Draught,Destination,Vessel Type,Extra Info
27/02/2019 02:36:08,49.759212,-3.077297,13.2,64,63.1,3.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:17,49.759490,-3.076458,13.2,64,63.1,0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:28,49.759728,-3.075687,13.2,64,63.8,0.4,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:37,49.759997,-3.074843,13.2,65,63.8,4.5,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:55,49.760550,-3.073052,13.2,66,64.5,4.5,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:56,49.759212,-3.077297,13.2,64,63.1,3.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:36:57,49.760550,-3.073052,13.2,66,64.5,4.5,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:07,49.759490,-3.076458,13.2,64,63.1,0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:09,49.760813,-3.072193,13.2,66,64.5,1.1,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:18,49.761038,-3.071413,13.2,66,65.4,1.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:25,49.759728,-3.075687,13.2,64,63.8,0.4,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:31,49.759997,-3.074843,13.2,65,63.8,4.5,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:38,49.761558,-3.069613,13.2,67,66.1,-0.2,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:37:58,49.762042,-3.067878,13.2,67,66.8,-0.4,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:14,49.760813,-3.072193,13.2,66,64.5,1.1,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:19,49.762512,-3.066125,13.2,67,67.7,-0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:24,49.761038,-3.071413,13.2,66,65.4,1.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:28,49.762732,-3.065335,13.2,68,67.1,1.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:38,49.762958,-3.064462,13.2,67,67.8,-0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:40,49.761292,-3.070553,13.2,67,65.5,3.6,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:38:57,49.763420,-3.062720,13.2,67,67.7,-0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:39:07,49.761775,-3.068837,13.2,67,66.3,2.2,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:39:10,49.763650,-3.061853,13.2,67,67.6,-0.7,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
27/02/2019 02:39:23,49.763902,-3.060895,13.2,67,67.6,1.1,Under way using engine,9645425,AEGEAN DREAM,SVCM3,226,48,274,20,28,48,,,Tanker,N/A
