MMSI,229068000,,,,,,,,,,Length,,,Width,,,,,,
Date and UTC Time,Lat,Lon,SOG,HDG,COG,ROT,Status,IMO Number,Name,Call Sign,Bow,Stern,Overall,Port,Starboard,Overall,Draught,Destination,Vessel Type,Extra Info
12/02/2019 18:33:21,49.776873,-2.986952,9.6,63,63.6,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:33:30,49.777072,-2.986328,9.7,63,64,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:33:41,49.777262,-2.985705,9.7,64,64.5,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:33:51,49.777480,-2.984948,9.7,63,65.8,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:01,49.777637,-2.984370,9.7,63,66.7,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:10,49.777807,-2.983797,9.7,62,66.4,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:21,49.778003,-2.983092,9.7,62,65.8,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:31,49.778192,-2.982458,9.6,62,65.2,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:41,49.778360,-2.981892,9.7,63,64.8,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:34:50,49.778552,-2.981272,9.6,63,65.3,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:01,49.778738,-2.980652,9.6,63,65.4,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:12,49.778968,-2.979898,9.6,63,65.4,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:21,49.779133,-2.979335,9.6,63,65.4,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:31,49.779312,-2.978707,9.6,63,65.6,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:41,49.779492,-2.978077,9.6,63,65.7,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:35:50,49.779653,-2.977512,9.7,63,66,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:36:01,49.779835,-2.976882,9.7,63,65.7,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:36:12,49.780050,-2.976127,9.7,63,65.9,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:36:21,49.780193,-2.975622,9.6,63,65.9,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:36:31,49.780413,-2.974867,9.6,63,65.8,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
12/02/2019 18:36:41,49.780582,-2.974297,9.6,63,66,0,Under way using engine,9481702,ABML EVA,9HA3041,215,39,254,27,16,43,,,Cargo,N/A
