MMSI,256735000,,,,,,,,,,Length,,,Width,,,,,,
Date and UTC Time,Lat,Lon,SOG,HDG,COG,ROT,Status,IMO Number,Name,Call Sign,Bow,Stern,Overall,Port,Starboard,Overall,Draught,Destination,Vessel Type,Extra Info
15/02/2019 04:38:35,49.625975,-4.705803,12.3,83,83,-6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:39:03,49.626172,-4.703255,11.9,83,82.3,-12.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:40:34,49.626727,-4.695558,12,82,83,7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:41:04,49.626948,-4.692910,12.1,83,82.9,6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:41:13,49.627012,-4.692153,11.9,82,82.6,5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:41:53,49.627285,-4.688655,12,82,82.9,-10,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,,,Tanker,N/A
15/02/2019 04:42:04,49.627355,-4.687803,12,83,82.5,-3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:42:43,49.627613,-4.684475,12,82,82.8,4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:42:53,49.627688,-4.683532,12,82,82.8,-4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:43:04,49.627762,-4.682680,12,82,82,0.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:43:24,49.627907,-4.680970,12,82,82.4,1.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:43:33,49.627968,-4.680203,12,82,82.4,-7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:43:43,49.628035,-4.679357,12,82,82,-0.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:43:53,49.628118,-4.678417,12,82,82,2.2,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:45:03,49.628575,-4.672538,11.9,82,83,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:45:33,49.628780,-4.669975,12.1,82,83,-0.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:46:03,49.628992,-4.667430,11.8,81,82.7,-4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:46:24,49.629148,-4.665640,11.8,81,82.5,4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:46:33,49.629222,-4.664857,12.1,82,82,-8.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:46:43,49.629293,-4.664025,11.9,82,82.4,7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:46:53,49.629382,-4.663080,12.1,82,82.3,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:47:24,49.629610,-4.660547,12,82,81.9,-2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:47:33,49.629677,-4.659782,12,83,81.5,0.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:47:44,49.629750,-4.658852,11.9,82,82.6,2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:47:53,49.629822,-4.658000,12,82,82.4,-3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:48:33,49.630095,-4.654697,11.9,83,82.2,-4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 04:51:54,49.631315,-4.637585,11.9,84,82.9,-10,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:18:44,49.633758,-3.602468,11.6,74,82.5,-14.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:18:52,49.633848,-3.601723,11.6,73,78.5,-12.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:03,49.633993,-3.600850,11.5,70,76.5,-7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:13,49.634132,-3.600138,11.5,69,73.3,-10,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:23,49.634315,-3.599277,11.6,69,71.7,-0.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:32,49.634483,-3.598585,11.4,68,69.6,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:44,49.634707,-3.597748,11.6,69,68.4,-2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:19:52,49.634882,-3.597062,11.5,69,68.3,3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:05,49.635097,-3.596207,11.6,69,68.6,-3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:14,49.635275,-3.595517,11.6,69,67.9,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:22,49.635468,-3.594742,11.6,68,68.6,0.2,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:32,49.635670,-3.593985,11.6,68,67.8,-7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:44,49.635892,-3.593137,11.6,68,67.9,-3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:20:52,49.636072,-3.592445,11.6,68,67.8,-0.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:03,49.636295,-3.591598,11.7,67,67.5,-7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:13,49.636480,-3.590907,11.6,68,66.9,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:23,49.636692,-3.590142,11.6,67,67.2,2.2,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:32,49.636903,-3.589378,11.7,67,67.2,3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:44,49.637137,-3.588543,11.6,67,66.9,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:21:52,49.637332,-3.587850,11.8,67,66.6,6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:02,49.637530,-3.587178,11.6,67,66.2,-4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:14,49.637790,-3.586260,11.8,67,66.5,4.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:22,49.637988,-3.585592,11.6,68,66.4,7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:32,49.638175,-3.584887,11.7,69,66.4,1.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:44,49.638433,-3.583988,11.6,69,67.1,5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:22:52,49.638615,-3.583297,11.6,70,68.1,6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:02,49.638795,-3.582600,11.7,70,68.6,2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:14,49.639190,-3.581750,11.6,70,69.3,2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:22,49.639198,-3.580968,11.7,70,69.5,2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:32,49.639383,-3.580200,11.5,69,69.3,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:43,49.639595,-3.579337,11.7,70,69.2,-5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:23:54,49.639782,-3.578567,11.6,69,69.5,10,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:02,49.639945,-3.577945,11.7,70,68.4,-6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:14,49.640153,-3.576988,11.7,70,70.1,7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:23,49.640323,-3.576302,11.4,70,69.2,-8.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:32,49.640473,-3.575568,11.7,70,69.7,2.9,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:44,49.640703,-3.574665,11.4,70,69.3,5.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:24:54,49.640902,-3.573887,11.7,70,69.4,1.1,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:25:02,49.641040,-3.573268,11.4,70,69.6,-7.5,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:25:14,49.641275,-3.572335,11.7,70,69.5,-6.4,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:25:22,49.641432,-3.571637,11.6,70,70.6,3.6,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
15/02/2019 08:25:32,49.641628,-3.570860,11.7,70,69.4,-8.7,Under way using engine,9580974,ADFINES STAR,9HA2916,131,31,162,21,2,23,7.1,"DORDRECHT,NL",Tanker,N/A
