MMSI,256903000,,,,,,,,,,Length,,,Width,,,,,,
Date and UTC Time,Lat,Lon,SOG,HDG,COG,ROT,Status,IMO Number,Name,Call Sign,Bow,Stern,Overall,Port,Starboard,Overall,Draught,Destination,Vessel Type,Extra Info
13/02/2019 16:45:23,49.796893,-2.944177,10,69,63.6,5.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:45:33,49.797078,-2.943578,10.2,71,64.6,10,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:45:44,49.797297,-2.942783,10,72,67,6.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:45:54,49.797475,-2.942113,10,73,67.4,6.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:03,49.797603,-2.941573,10,74,69.5,4.5,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:15,49.797795,-2.940758,9.9,75,70.6,5.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:23,49.797923,-2.940140,10,75,71.6,2.9,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:34,49.798073,-2.939385,9.9,76,72.6,2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:45,49.798200,-2.938695,10,76,73.9,2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,,,Tanker,N/A
13/02/2019 16:46:56,49.798320,-2.938008,9.9,76,74.6,0.7,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:47:05,49.798435,-2.937308,10,76,75.5,1.1,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:47:23,49.798645,-2.935987,9.9,77,76.2,1.1,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:47:34,49.798760,-2.935213,10,76,76.9,-1.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:47:44,49.798865,-2.934518,9.9,76,77,0.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:47:54,49.798965,-2.933817,10,76,77.4,-1.1,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:05,49.799065,-2.933123,9.9,76,77.2,-2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:14,49.799163,-2.932423,10,76,77.6,-0.7,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:23,49.799257,-2.931797,9.9,75,77.3,-3.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:34,49.799367,-2.931027,9.9,75,77.2,-1.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:45,49.799473,-2.930325,9.9,74,77.4,-4.5,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:48:54,49.799582,-2.929625,9.9,74,76.8,-2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:05,49.799687,-2.928927,9.9,73,76.7,-2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:14,49.799802,-2.928232,9.9,73,76.2,-3.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:23,49.799903,-2.927612,9.9,72,75.6,-2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:34,49.800040,-2.926855,9.9,72,75.1,-2.9,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:45,49.800163,-2.926167,9.9,71,74.4,-2.2,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:49:54,49.800288,-2.925485,9.9,71,74.1,-3.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:50:05,49.800420,-2.924802,9.9,70,73.2,0.4,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:50:14,49.800548,-2.924123,9.8,70,73.1,-3.6,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
13/02/2019 16:50:23,49.800675,-2.923510,9.9,70,72.1,0,Under way using engine,9693068,ABLIANI,9HA4031,205,45,250,16,28,44,13.8,SHELLHAVEN,Tanker,N/A
